               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/starfish_mAP_50
                  64,            0.020034,            0.014954,                   0,              0.9367,             0.82851,             0.90657,              0.5225,            0.018499,            0.020033,                   0,           0.0029045,           0.0029045,           0.0029045,             0.90657
                  65,            0.017661,              0.0104,                   0,             0.94211,             0.93156,             0.95978,             0.56931,            0.016564,            0.014775,                   0,            0.002575,            0.002575,            0.002575,             0.95978
                  66,            0.015187,           0.0088404,                   0,             0.94795,             0.93779,             0.96628,             0.57839,            0.015534,            0.014201,                   0,          0.00076317,          0.00076317,          0.00076317,             0.96628
                  67,            0.013694,            0.008377,                   0,             0.94577,             0.94152,             0.96805,             0.58579,            0.015223,            0.014027,                   0,              0.0001,              0.0001,              0.0001,             0.96805
                  68,            0.013723,           0.0082624,                   0,             0.93928,             0.95593,             0.97007,             0.59138,             0.01496,            0.013817,                   0,          0.00076317,          0.00076317,          0.00076317,             0.97007
